Instituicao;Perfil_Risco;Aporte_Mensal_BRL;Mes;Ano;Total_Investido_BRL;Saldo_Bruto_BRL;Saldo_Liquido_BRL;Imposto_Retido_BRL
Itaú;Baixo Risco;50;1;0.1;50;50.34;50.22;0.12
Itaú;Baixo Risco;50;2;0.2;100;101.03;100.67;0.36
Itaú;Baixo Risco;50;3;0.2;150;152.06;151.34;0.72
Itaú;Baixo Risco;50;4;0.3;200;203.43;202.23;1.2
Itaú;Baixo Risco;50;5;0.4;250;255.16;253.36;1.81
Itaú;Baixo Risco;50;6;0.5;300;307.24;304.71;2.54
Itaú;Baixo Risco;50;7;0.6;350;359.68;356.29;3.39
Itaú;Baixo Risco;50;8;0.7;400;412.48;408.11;4.37
Itaú;Baixo Risco;50;9;0.8;450;465.63;460.16;5.47
Itaú;Baixo Risco;50;10;0.8;500;519.15;512.45;6.7
Itaú;Baixo Risco;50;11;0.9;550;573.03;564.97;8.06
Itaú;Baixo Risco;50;12;1.0;600;627.28;617.73;9.55
Itaú;Baixo Risco;50;13;1.1;650;681.9;670.74;11.17
Itaú;Baixo Risco;50;14;1.2;700;736.89;723.98;12.91
Itaú;Baixo Risco;50;15;1.2;750;792.26;777.47;14.79
Itaú;Baixo Risco;50;16;1.3;800;848.01;831.2;16.8
Itaú;Baixo Risco;50;17;1.4;850;904.13;885.19;18.95
Itaú;Baixo Risco;50;18;1.5;900;960.64;939.42;21.22
Itaú;Baixo Risco;50;19;1.6;950;1017.54;993.9;23.64
Itaú;Baixo Risco;50;20;1.7;1000;1074.82;1048.63;26.19
Itaú;Baixo Risco;50;21;1.8;1050;1132.49;1103.62;28.87
Itaú;Baixo Risco;50;22;1.8;1100;1190.56;1158.86;31.69
Itaú;Baixo Risco;50;23;1.9;1150;1249.02;1214.36;34.66
Itaú;Baixo Risco;50;24;2.0;1200;1307.88;1270.12;37.76
Itaú;Baixo Risco;50;25;2.1;1250;1367.14;1332.0;35.14
Itaú;Baixo Risco;50;26;2.2;1300;1426.81;1388.77;38.04
Itaú;Baixo Risco;50;27;2.2;1350;1486.88;1445.82;41.07
Itaú;Baixo Risco;50;28;2.3;1400;1547.37;1503.16;44.21
Itaú;Baixo Risco;50;29;2.4;1450;1608.26;1560.79;47.48
Itaú;Baixo Risco;50;30;2.5;1500;1669.58;1618.7;50.87
Itaú;Baixo Risco;50;31;2.6;1550;1731.31;1676.91;54.39
Itaú;Baixo Risco;50;32;2.7;1600;1793.46;1735.42;58.04
Itaú;Baixo Risco;50;33;2.8;1650;1856.03;1794.22;61.81
Itaú;Baixo Risco;50;34;2.8;1700;1919.03;1853.32;65.71
Itaú;Baixo Risco;50;35;2.9;1750;1982.47;1912.73;69.74
Itaú;Baixo Risco;50;36;3.0;1800;2046.33;1972.43;73.9
Itaú;Baixo Risco;50;37;3.1;1850;2110.63;2032.44;78.19
Itaú;Baixo Risco;50;38;3.2;1900;2175.37;2092.76;82.61
Itaú;Baixo Risco;50;39;3.2;1950;2240.55;2153.39;87.17
Itaú;Baixo Risco;50;40;3.3;2000;2306.18;2214.32;91.85
Itaú;Baixo Risco;50;41;3.4;2050;2372.25;2275.57;96.67
Itaú;Baixo Risco;50;42;3.5;2100;2438.77;2337.14;101.63
Itaú;Baixo Risco;50;43;3.6;2150;2505.75;2399.02;106.72
Itaú;Baixo Risco;50;44;3.7;2200;2573.18;2461.23;111.95
Itaú;Baixo Risco;50;45;3.8;2250;2641.08;2523.75;117.32
Itaú;Baixo Risco;50;46;3.8;2300;2709.43;2586.6;122.83
Itaú;Baixo Risco;50;47;3.9;2350;2778.26;2649.78;128.48
Itaú;Baixo Risco;50;48;4.0;2400;2847.55;2713.28;134.26
Itaú;Baixo Risco;50;49;4.1;2450;2917.32;2800.49;116.83
Itaú;Baixo Risco;50;50;4.2;2500;2987.56;2865.67;121.89
Itaú;Baixo Risco;50;51;4.2;2550;3058.28;2931.21;127.07
Itaú;Baixo Risco;50;52;4.3;2600;3129.48;2997.11;132.37
Itaú;Baixo Risco;50;53;4.4;2650;3201.17;3063.38;137.79
Itaú;Baixo Risco;50;54;4.5;2700;3273.35;3130.01;143.34
Itaú;Baixo Risco;50;55;4.6;2750;3346.02;3197.01;149.0
Itaú;Baixo Risco;50;56;4.7;2800;3419.18;3264.39;154.8
Itaú;Baixo Risco;50;57;4.8;2850;3492.85;3332.14;160.71
Itaú;Baixo Risco;50;58;4.8;2900;3567.02;3400.26;166.75
Itaú;Baixo Risco;50;59;4.9;2950;3641.69;3468.77;172.92
Itaú;Baixo Risco;50;60;5.0;3000;3716.87;3537.65;179.22
Itaú;Baixo Risco;50;61;5.1;3050;3792.57;3606.93;185.64
Itaú;Baixo Risco;50;62;5.2;3100;3868.78;3676.58;192.19
Itaú;Baixo Risco;50;63;5.2;3150;3945.51;3746.63;198.88
Itaú;Baixo Risco;50;64;5.3;3200;4022.77;3817.08;205.69
Itaú;Baixo Risco;50;65;5.4;3250;4100.55;3887.91;212.64
Itaú;Baixo Risco;50;66;5.5;3300;4178.86;3959.15;219.72
Itaú;Baixo Risco;50;67;5.6;3350;4257.71;4030.78;226.93
Itaú;Baixo Risco;50;68;5.7;3400;4337.09;4102.82;234.27
Itaú;Baixo Risco;50;69;5.8;3450;4417.02;4175.27;241.76
Itaú;Baixo Risco;50;70;5.8;3500;4497.49;4248.12;249.37
Itaú;Baixo Risco;50;71;5.9;3550;4578.51;4321.39;257.13
Itaú;Baixo Risco;50;72;6.0;3600;4660.09;4395.07;265.02
Itaú;Baixo Risco;50;73;6.1;3650;4742.22;4523.77;218.44
Itaú;Baixo Risco;50;74;6.2;3700;4824.91;4599.93;224.98
Itaú;Baixo Risco;50;75;6.2;3750;4908.16;4676.53;231.63
Itaú;Baixo Risco;50;76;6.3;3800;4991.98;4753.59;238.4
Itaú;Baixo Risco;50;77;6.4;3850;5076.38;4831.1;245.28
Itaú;Baixo Risco;50;78;6.5;3900;5161.35;4909.08;252.27
Itaú;Baixo Risco;50;79;6.6;3950;5246.9;4987.52;259.38
Itaú;Baixo Risco;50;80;6.7;4000;5333.03;5066.42;266.61
Itaú;Baixo Risco;50;81;6.8;4050;5419.75;5145.8;273.95
Itaú;Baixo Risco;50;82;6.8;4100;5507.06;5225.65;281.41
Itaú;Baixo Risco;50;83;6.9;4150;5594.97;5305.97;288.99
Itaú;Baixo Risco;50;84;7.0;4200;5683.48;5386.78;296.7
Itaú;Baixo Risco;50;85;7.1;4250;5772.59;5468.07;304.52
Itaú;Baixo Risco;50;86;7.2;4300;5862.3;5549.84;312.46
Itaú;Baixo Risco;50;87;7.2;4350;5952.64;5632.11;320.53
Itaú;Baixo Risco;50;88;7.3;4400;6043.58;5714.87;328.72
Itaú;Baixo Risco;50;89;7.4;4450;6135.15;5798.12;337.03
Itaú;Baixo Risco;50;90;7.5;4500;6227.34;5881.87;345.47
Itaú;Baixo Risco;50;91;7.6;4550;6320.16;5966.13;354.03
Itaú;Baixo Risco;50;92;7.7;4600;6413.62;6050.89;362.72
Itaú;Baixo Risco;50;93;7.8;4650;6507.71;6136.17;371.54
Itaú;Baixo Risco;50;94;7.8;4700;6602.44;6221.95;380.49
Itaú;Baixo Risco;50;95;7.9;4750;6697.82;6308.26;389.56
Itaú;Baixo Risco;50;96;8.0;4800;6793.85;6395.08;398.77
Itaú;Baixo Risco;50;97;8.1;4850;6890.54;6584.46;306.08
Itaú;Baixo Risco;50;98;8.2;4900;6987.88;6674.7;313.18
Itaú;Baixo Risco;50;99;8.2;4950;7085.89;6765.51;320.38
Itaú;Baixo Risco;50;100;8.3;5000;7184.57;6856.88;327.69
Itaú;Baixo Risco;50;101;8.4;5050;7283.92;6948.83;335.09
Itaú;Baixo Risco;50;102;8.5;5100;7383.95;7041.35;342.59
Itaú;Baixo Risco;50;103;8.6;5150;7484.66;7134.46;350.2
Itaú;Baixo Risco;50;104;8.7;5200;7586.05;7228.15;357.91
Itaú;Baixo Risco;50;105;8.8;5250;7688.14;7322.42;365.72
Itaú;Baixo Risco;50;106;8.8;5300;7790.93;7417.29;373.64
Itaú;Baixo Risco;50;107;8.9;5350;7894.42;7512.75;381.66
Itaú;Baixo Risco;50;108;9.0;5400;7998.61;7608.82;389.79
Itaú;Baixo Risco;50;109;9.1;5450;8103.51;7705.49;398.03
Itaú;Baixo Risco;50;110;9.2;5500;8209.13;7802.76;406.37
Itaú;Baixo Risco;50;111;9.2;5550;8315.47;7900.65;414.82
Itaú;Baixo Risco;50;112;9.3;5600;8422.54;7999.16;423.38
